gene_name,max(statistic),min(pValue),max(delta_af_abs)
PAGE4-USP27X-AS1,8.228889951847183,0.0041228739345087195,0.054827999999999995
EFEMP2,5.440368354345926,0.019676519462506037,0.07270499999999991
NEU2-INPP5D,8.889036133430762,0.002868881420476699,0.021392999999999995
HIST1H1C,14.750740665438842,1.226993171796753E-4,0.030578999999999967
POMK-HGSNAT,14.750740665438842,1.226993171796753E-4,0.044640000000000006
SNORD45B,5.984754830826602,0.014430048241337312,0.028149000000000035
OR2D2,4.277622123214089,0.038617337361321225,0.051066
PACSIN3,11.586679221363665,6.642592449117579E-4,0.066664
TTC9C,8.889036133430762,0.002868881420476699,0.05085999999999999
CHRNA3-CHRNB4,1.3989342747684699,0.23690208927149903,0.030839000000000005
F2RL3,8.889036133430762,0.002868881420476699,0.05077700000000002
PLA2G4C-LIG1,7.802504073633898,0.005217388170967063,0.09213499999999997
HUS1,27.86662981250862,1.2997214082766106E-7,0.08912700000000007
FSBP,14.750740665438842,1.226993171796753E-4,0.05156
GTF3C4,12.044860370751195,5.193537710420637E-4,0.11010899999999996
MIR1976,4.102460157857242,0.0428208622689934,0.05279600000000001
LOC100996286,4.102460157857242,0.0428208622689934,0.04469400000000001
MPDU1,8.889036133430762,0.002868881420476699,0.07656400000000002
CNNM3-ANKRD23,1.821295585346929,0.17715913705435404,0.01927899999999999
LCA5L-SH3BGR,4.247868724606325,0.03929962120170716,0.06649900000000003
GAB2-LOC101928865,5.984754830826602,0.014430048241337312,0.017960000000000004
KAT2A,8.889036133430762,0.002868881420476699,0.05287800000000001
FKBP1B-SF3B6,14.750740665438842,1.226993171796753E-4,0.011657
ANKS6-GALNT12,3.2046168224420195,0.07343070737373458,0.03675800000000007
HOXC8-HOXC6,1.821295585346929,0.17715913705435404,0.03060699999999994
VIP,5.201131297692154,0.022572193041972,0.04794799999999999
TLR9-TWF2,14.750740665438842,1.226993171796753E-4,0.04535299999999998
ARHGEF25-LOC101927583,1.7013294252539128,0.1921142090263207,0.033269999999999966
LRRC71-ARHGEF11,0.6315372839714082,0.42679198818825836,0.009831000000000003
TUBGCP4-TP53BP1,4.404981328186926,0.03583411701233574,0.04236000000000001
C2orf88-HIBCH,8.889036133430762,0.002868881420476699,0.024962999999999985
SUN3-C7orf57,5.984754830826602,0.014430048241337312,0.020762000000000003
C7orf73-SLC13A4,5.984754830826602,0.014430048241337312,0.06795400000000007
BOD1L1-MIR5091,0.1665266379139956,0.6832173251069957,0.011973000000000011
TSGA10-LIPT1,0.22991676248399234,0.6315855547173757,0.017081000000000013
LOC148413,6.10785815867708,0.013458212505910838,0.026884999999999992
C1QB,14.750740665438842,1.226993171796753E-4,0.07157999999999998
SLC27A3,5.984754830826602,0.014430048241337312,0.028519000000000017
FAM78B,14.809684331824005,1.1892322516637854E-4,0.05933200000000001
F5,14.750740665438842,1.226993171796753E-4,0.050612000000000004
ANKRD45,14.750740665438842,1.226993171796753E-4,0.08197399999999999
LINC01037,17.999764284198612,2.2093232514119876E-5,0.02382300000000004
CRACR2B,11.502349945192748,6.950825765215107E-4,0.10463
SLC22A8,17.999764284198612,2.2093232514119876E-5,0.06225700000000001
TMEM123,14.809684331824005,1.1892322516637854E-4,0.048977999999999994
HEPACAM-CCDC15,3.6496970907033353,0.056079409820282256,0.03788399999999997
